file,text
BNK4_43,я прикрываю наша задница вперед
BNK4_44,нам удалось мы богаты богаты
BNK4_45,жаль что com погиб он был славным парнем
BNK4_46,да но нам больше будет
BNK4_47,верно черт возьми да
BNK4_48,я тебе бы хотелось массажа
BNK4_49,привет мерседес да я как то немного напряженно
BNK4_4A,есть 2 крыла колонна
BNK4_5,хорошо ты мне так и сделаю
BNK4_51,ты классно выглядишь
BNK4_6,это облава
BNK4_7,никому не двигаться
BNK4_8,всем стать кто сильнее
BNK4_9,удержи крепость
BNK4_94,ладно парня мило и безоблачно как мои планировали
CAP1_10,я убью тебя бурсаки
CAP1_11,ты всегда был ничтожеством
CAP1_12,приготовься к смерти версачи
CAP1_2,ты знаешь правила версаче
CAP1_3,мистер форели говорит о своем уважении
CAP1_4,лесника рвут
CAP1_5,скажи кособоко держись подальше
CAP1_6,теперь тебе принадлежу думания они
CAP1_7,думаю что сможешь меня уничтожить
CAP1_8,мы будем с тобой по пятам пока ты не умрешь в арсеньеве
CAP1_9,у тебя нет ни малейшего шанса психованная гнида
CNT1_1,ой только не только не в лицо
CNT1_2,я скажу я всем скажу
CNT2_1,убить его
CNT2_2,разобрать тарелки
CNT2_3,защищать курьера
CNT2_4,частное предприятие вход запрещен
COK1_1,Пугачева
COK1_2,что ты дура
COK1_3,ну если упадешь и сломаешь
COK1_4,неудачник
COK1_5,лучше не останавливаться засранец
COK1_6,я сыт по горло ты мразью
COK2_1,только 1 сбивай меня с толку что с Квентином
COK2_13,Ланс ванс чистокровный ублюдок
COK2_14,ладно мы уже почти на месте
COK2_15,мы сделаем пару проездов
COK2_16,так что вынимаете столько плюшек сколько сможете
COK2_2,я не знаю мне всегда нравился этот Квентин ванс
COK2_20,черт возьми это же военная зона избавьтесь этих нескольких бандитов
COK2_21,удары старик
COK2_3,тебя зовут Ланс ванс
COK2_4,я достаточно наслушался всего этого еще в школе
COK2_5,застрелил 1 из этих суматохи
COK2_6,нет впрочем я немного потренируюсь в этом деле
COK2_9,остров креветок
COK3_1,не стреляет Джон
COK3_2,что такое
COK3_3,он садится водку не вышла
COK3_4,помоги лодку гадают приятель
COK4_1,кто мне мы знаем что нибудь я сломал наши планы
COK4_10,а не разбитый вдребезги корм для рыб
COK4_11,получилось остальные лодки не вип класса
COK4_12,смотри в оба они подходят повсюду
COK4_13,взять их направляйтесь где язву в чем быстрее тем лучше
COK4_14,хотите кое что из этого
COK4_15,на покой к рыбам
COK4_16,ешь его ешь его
COK4_17,а не просто в отчаянии
COK4_18,твои ноги в воде мы набираем воду
COK4_19,еще больше проблем
COK4_2,ага
COK4_20,на этой пристани бандиты
COK4_21,мост поднимается
COK4_22,спасайся кто может сейчас рванет
COK4_23,хорошая стрельба
COK4_24,неплохая стрельба друг мой настоящий истинный лунатик степени а
COK4_25,благодарю вас
COK4_26,еще увидимся Томми
COK4_27,хорошо мистер Ланс ванс данс
COK4_3,так почему же мы выполняем для него эти задания
COK4_4,чем больше мы учим сейчас тебе придется учить когда этот город будет у нас в руках
COK4_5,мне нравится твой стиль парень настоящая свежатина
COK4_6,а куда мы направляемся
COK4_7,мы заблудились
COK4_8,у нас тут конкуренты
COK4_9,уничтожить их
COK4_9A,пришло время для танца ланца ванса
COL2_1,дождь улица мокрая в это время года
COL2_2,чего
COL2_3,комментарии
COL2_4,послушайте меня послал Кортес просто дайте мне чипсы
COL2_5,аккорд
COL2_6A,стоять империалистическая американская свинья это собственность правительство Франции это конец
COL2_9,американский идиот они проследили за тобой
COL4_1,что там за кадром не знаю сэр
COL4_10,пришло время поесть пончиков
COL4_11,уберите этого гражданского с моего пути солдат
COL4_12,гражданский танки остановите его
COL4_13,это военный конвой и не создавайте нам препятствий
COL4_14,сбросьте его солдат
COL4_15,уберите этот гражданский автомобиль с пути
COL4_16,машина движется шар
COL4_17,окей взвод выходим
COL4_18,танки сэр
COL4_19,раздобыть и пончиков солдат царь я царь
COL4_2,не знаю
COL4_20,цель поражена сэр
COL4_21,снайпер
COL4_22,ухожу отсюда
COL4_23,цель достигнута взвод вольно давайте поедем пончиков
COL4_24,протокол безопасности дельта indian запущен запущена самоуничтожение транспортного средства
COL4_25,включена система самоуничтожения
COL4_26,приготовьте умереть коммунистическая сволочь
COL4_3,конвой стой
COL4_4,выходи за наверх солдат сэр есть сэр
COL4_5,Асер
COL4_6,мы под вражеским огнем
COL4_7,гражданский уходи Станко
COL4_8,я сказал уходи немедленно
COL4_9,оборонительная позиция
COL5_1,левый борт левый борт
COL5_10,у меня дипломатический иммунитет
COL5_11,не стреляйте я полковник
COL5_12,кто на свете их моя страна будет благодарна
COL5_13,нас подавили французы
COL5_14,всюду куда ни глянь французы я их ненавижу
COL5_15,как вы
COL5_16,это Софи Гейнсборо iwash мерзкий французских лет
COL5_17,о боже мой у них вертолет
COL5_18,стрелять и по вертолету
COL5_19,тебе еще этот вертолет
COL5_2,а я такой с правого борта
COL5_20,снова приближается сбить вертолет
COL5_21,ну и габариты у этого вертолета
COL5_22,он снова здесь
COL5_3,передний мост
COL5_4,они взяли вертолет
COL5_5,умрете французики
COL5_6,мерседес эта девушка станет моей погибелью
COL5_7,не стрелять у меня
COL5_8,чертов таракан
COL5_9,у меня не стреляют
CUB1_10,в любое время потому что у вас есть достоинство у всех моих друзей есть большое достоинство
CUB2_10,вам необходимо убить гаитян они кубинцев
CUB2_11,дурак нам нужна была эта машина
CUB4_10,вамос
CUB4_11,именно вамос
CUB4_12,нам нужна машина банды гаитянски
CUB4_13,давайте найдем наших мы сейчас
CUB4_14,за мной товарищи
CUB4_15,уже идиома
CUB4_16,я буду закладывать бомбу прикройте
FINKILL,убить его
FIN_10,Соня Соня я иду за тобой
FIN_11A,ты забрал у меня 15 лет Соня
FIN_11B,а теперь пришел час расплаты
FIN_12A,ты так ничего и не понимаешь да
FIN_12B,ты мой Томми
FIN_12C,15 лет принадлежали Мане
FIN_13,уберите его ребята он всегда туго соображала
FIN_1A,иди сюда ты вероломный кусок дерьма
FIN_1B,тебе конец такой ищи в спину урод
FIN_1C,это последний танец для ланце аванса
FIN_2B,это ты так думаешь
FIN_2C,я сказал что мне в школе этого хватило
FIN_3,некому прикрыть свою задницу датами
FIN_4,теперь ты история твоя история
FIN_5,не тут и сторону выбрал Ланс
FIN_6,Соня сейчас у сейфа с моими деньгами
Glight,Алиса нет
HAT_1A,не шевелись болван
INTRO1,я на 1 секунду отвернулся и получил кучу дерьма в лицо
INTRO2,поспим немного
INTRO3,что ты собираешься делать
INTRO4,завтра я буду у тебя в офисе и мы начнем сортировать эту кучу
LAW1_1,ты будешь работать на моего отца
LAW1_10,да детка я просто забери этого Холли рапида
LAW1_2,возможно
LAW1_3,ты дальше будешь держать за руку у меня на коленях
LAW1_4,это так сложно иметь богатого и могущественного отца
LAW1_5,ладно еще увидимся красавчик
LAW1_6,не сомневаюсь
LAW1_7,хороший мотоцикл
LAW1_8,где твой мотоцикл
LAW1_9,мне нравится твой мотоцикл
LAW2_1,что ты уставился
LAW2_10,и что будем делать теперь
LAW2_2,заткнись
LAW2_3,сделай меня ты засранец
LAW2_4,сюда
LAW2_5,я посмотрю что можно раскопать я буду следить за тобой Томми
LAW2_6,надо сматываться отсюда
LAW2_7,осторожнее
LAW3_1,будь осторожен
LAW3_11,точка поставь точку в покое
LAW3_12,кто нибудь помогите пожалуйста
LAW3_13,кто мне за это заплатит
LAW3_14,ладно ладно я доставлю сообщение
LAW3_16,невероятно
LAW3_17,почему
LAW3_2,помни что ты грязная работа
LAW3_20,я не могу в это поверить
LAW3_21,так не годится
LAW3_24,идиот
law3_25,прочь с дороги
LAW3_3,ой не виновен пока я не скажу другое
LAW3_4,ты же знаешь он не виновен
LAW3_5,помнишь джордин помнишь он не виновен
LAW3_6,не виновен ясно отлично
LAW4_10,богатая дирекция сосет
LAW4_3,ждем это сраное руководство
LAW4_4,смерть начальству
LAW4_5,хорошую
LAW4_6,задела
LAW4_7,устроим революцию
LAW4_8,хрен начальству с перцем
LAW4_9,денег
MERC_39,вы опоздали большой мальчик
MOB_01A,у меня есть для тебя немного информации хочу рассказать это личное
MOB_01B,я отдыхаю в клубе малибу
MOB_01C,солнышко увидимся
MOB_02A,але тори тори
MOB_02B,исправили ситуацию Воркс можешь поверить
MOB_02C,неприятно
MOB_03A,вручается
MOB_03B,которого обязуется выплатить долги гибдд авто
MOB_03C,после внезапного исчезновения бд у меня нет
MOB_03D,вам придется ответить за его финансовые махинации
MOB_03E,какая будет полностью
MOB_04A,как ты это опять пол
MOB_04B,я забыла о том что для представления нам нужны еще мускулы посеве
MOB_04D,уладь это для меня и я достану тебе несколько билетов
MOB_05A,ты поступил правильно томми
MOB_05B,Новополоцк
MOB_05C,я дал тебе слово
MOB_05D,держись подальше
MOB_06A,только покойник может шутить над тобой дорогой мой
MOB_06B,думаю что ты можешь улучшить свое самочувствие
MOB_06C,заходи ко мне время от времени хорошо томми
MOB_07A,приятель ребята могут составить компанию
MOB_07B,я знаю только девушку
MOB_08A,тебе нужен дельный совет
MOB_08B,как дела
MOB_08C,стоит парням образе себя самостоятельно
MOB_08D,я знаю как вести дела
MOB_08E,да да я знаю что ты знаешь я сказал
MOB_08F,тебе это для того чтобы ты знал что я тоже знаю
MOB_08G,чтобы не забыть это
MOB_09A,у тебя есть работа
MOB_09B,это не лео
MOB_09C,счастливо будешь убить того кто взял его телефон
MOB_09D,а может я уже труп может я убью его телефон струпа ты autocom не думал
MOB_09E,а тогда ты грудь хочешь поработать
MOB_09F,зайди в кафе моего отца в маленькой Гаване и поговорим
MOB_10A,я хочу попросить тебя об одолжении
MOB_10B,как там киношные дела
MOB_10C,нормально слушай нам нужна сцена погони но наш бюджет маловат
MOB_10D,свободная колеса за городом а ты знаешь что делать
MOB_10E,окей
MOB_11A,дать один совет
MOB_11B,что беспокоит
MOB_11C,в городе можно хорошо заработать если купить правильную недвижимость улавливаешь
MOB_11D,твой чтоли
MOB_11E,все что хочу сказать держать ушки на макушке и может отыщешь возможность заработать я еще позвоню
MOB_11F,звони
MOB_14A,что я тебе расскажу
MOB_14B,на белом свете
MOB_14C,все пока сколько лет взятки
MOB_14D,это что то вроде пенсионного фонда
MOB_14E,Алиса эта информация
MOB_14F,поделишься
MOB_14G,спасибо
MOB_14H,Лондон дурак
MOB_16B,что ты хочешь пол мне не нужна одежда от кутюр
MOB_16C,хорошо друг но ты же знаешь что я не занимаюсь этим
MOB_16D,в Англии я много всякого натворил
MOB_16E,спасибо за предложение буду помнить о нем
MOB_16F,помни обо мне после всего что сделал для тебя
MOB_16G,вот и не могу забыть
MOB_17A,как поживаешь шишка я слышал у тебя в городе большой человек
MOB_17B,ты пьян
MOB_17C,я просто пару дней развлекался ну и не спал пару ночей
MOB_17D,кто сделал кто ты кто
mob_17e,правда
MOB_17H,можешь меня после всего что я для тебя сделал ты отказался от меня что это потвоему
MOB_17I,я занят не веди себя как идиот
MOB_17J,вот так мне сказали в тюрьме ты хочешь проблем ты их получишь
MOB_17K,я очень
MOB_17L,серьезно
MOB_18A,мне было просто позвони тебя
MOB_18B,сынок ты не поверишь какую девку я только что встретил
MOB_18C,уличную девку или вроде того
MOB_18D,она сказала что я зовут мерседес или вроде того
MOB_18E,что тебе надо попробовать эту птичку
MOB_18F,она могла бы слезать грифель у карандаша я бы сказала что лучше
MOB_18G,своего хозяйства
MOB_20A,привет
MOB_20B,у тебя кто то ехал ехал по крупному внезапной громко
MOB_20C,только не говори мне что я тебя предупреждал не надо было взорваться
MOB_20D,слушай говно ее получить
MOB_20E,не забывай меня
MOB_24A,але
MOB_24B,да
MOB_24C,ну и как то было у меня
MOB_24D,да я помню
MOB_24E,Алиса это было самое неудачное для бизнеса происшествия
MOB_24F,я знаю
MOB_24G,я хочу чтобы вы знали что люди делают все возможное чтобы разобраться с этим
MOB_24H,если хотите поговорить в более интимной обстановке вы зайчиками найти хорошо удача сеньор
MOB_25A,что французы стали мне сильно досаждать амиго
MOB_25B,сами не называть меня хором
MOB_25C,мне понадобится твоя помощь амиго и поскорее
MOB_25D,пожалуйста ты мне должен ненавижу французов
MOB_26B,да
MOB_26C,это я просто хочу сказать что я восторге от шоу
MOB_26D,мы парни благодарны тебе помни
MOB_26E,удачи
MOB_29A,алло это мистер Томми версетти
MOB_29C,я слышала Алиса
MOB_29D,возможно
MOB_29E,мне насаждают гаитянские паразиты можете помочь
MOB_29F,меня зовут я бы хотел встретиться в кафе Робина как можно скорее
MOB_29G,потому что говорю вам эти проклятые 9 я не совсем обнаглели
MOB_30A,это обидно
MOB_30B,как ваша кожа
MOB_30C,прекрасная вероятно доме невероятно теперь только респектабельные люди
MOB_30D,хочу сказать вам что мы в долгот и папе
MOB_30E,восхищаемся вами вы настоящий мужчина
MOB_30F,спасибо вы очень обрадовали меня буду присматривать
MOB_33A,толя брось вспоминать прошлое послушай меня хорошо
MOB_33B,хорошо у меня появилась неплохое вино думаю ты хотел бы попробовать
MOB_33C,если хочешь выпить или посмотреть стриптиз я могу тебе это устроить
MOB_33D,ладно ладно не тема для разговора я буду ждать тебя слышишь
MOB_34A,мне правда понравилось работать с тобой не получал удовольствие после name
MOB_34B,я тебе понадобился звони хорошо
MOB_34C,я всегда помню послужил
MOB_34D,слышишь
MOB_35A,хорошо взрывают прикол в том
MOB_35B,что я сражался в 600 и никогда не получал даже царапина и тут такое
MOB_35C,оружие всегда вооружен чего я тебе советую
MOB_35D,слушай сантименты слышишь
MOB_36A,я хочу тебя за то что ты для меня сделал
MOB_36B,всегда нападает из засады
MOB_36C,хорошо
MOB_40A,привет это Соня как загар
MOB_40B,я не загорал
MOB_40C,ладно не отдал мне деньги я спрашиваю тебя
MOB_40D,чем ты занят так скажи мне чем ты занят
MOB_40E,успокойся
MOB_40F,а я не беспокой сами ее такой
MOB_40G,потому что моей жизни было много проблем с людьми
MOB_40H,если надежном доме пожалуйста
MOB_40I,сделай нам обоим с нетерпением
MOB_41A,але
MOB_41B,привет Соня
MOB_41C,это я Соня твой старый друг
MOB_41D,ты мне не пишешь ты мне не звонишь
MOB_41E,ты же не поможешь не в этом Соня
MOB_41F,извини я забыл что ты всегда занят
MOB_41G,наркобаронов захват власти
MOB_41H,потому что у тебя уверен что я не тебе
MOB_42A,доме
MOB_42B,Соня
MOB_42C,очевидно ты страдаешь от проблем со слухом потому повторяю
MOB_42D,где мои деньги ты жернов товары операции
MOB_42E,а мне не смешно
MOB_43A,у меня на проводе Соня ты слышишь меня
MOB_43B,я слышал угрожавшего убить мою семью
MOB_43C,который собирается кусок что делать
MOB_43D,успокойся
MOB_43E,я спокойно спокойно
MOB_43F,забивай голову глупостями и следи за собой
MOB_43G,никто не заберет
MOB_43H,голос
MOB_47A,большая проблема приезжайте прямо сейчас
MOB_62A,я хочу поблагодарить тебя за своего человека
MOB_62B,я просила он сказал что ты лучший мой друг почему ты не зашел ко мне
MOB_62C,какой парень как ты окружен
MOB_62D,тупица
MOB_63A,Эрнест
MOB_63B,ты кто
MOB_63C,нормально не смогу ходить без палки но очень скоро вернусь на работу
MOB_63D,хорошо
MOB_63E,я слышу управленца какой род
MOB_63F,да
MOB_63G,никогда не доверять человеку который ходит по городу в пижаме скажу хорошо что ты убил его
MOB_63H,не думал что кажется таким
MOB_63I,это слишком
MOB_63J,хорошо Эрнест береги себя
MOB_66A,почему ты сюда пришел
MOB_66B,я же сказала тебе что мы больше не хотим тебя видеть
MOB_68A,у меня для тебя сюрприз
MOB_68B,я сейчас описывается некоторыми ведущими артистами
MOB_68C,почему у тебя мама
MOB_68D,я думаю увидимся
MOB_70A,полковнику я думаю что ты делового человека сможешь мне помочь
MOB_70B,я буду тебя
MOB_72A,история у меня мало времени
MOB_72B,твой рост какой мнение обо мне
MOB_72C,смотреть ко мне получше дай мне нормальную долю знаешь
MOB_72D,ой сегодня прости меня
MOB_72E,люди смотрят меня
MOB_72F,даже мой брат хотя бы ты же не делай этого
MOB_72G,говорите
MOB_73A,вода это
MOB_73C,правда ты чудо я чудо мы удивились писали себе в историю
MOB_73D,наконец то я заставил заткнуться
MOB_73F,круто а ты еще круче чем круто он никогда не верил в меня никогда не думал что я артист
MOB_73I,я люблю тебя малыш не бросай меня слышишь
MOB_95A,подойди к телефону в Гаване
MOB_96A,подойди к телефону в аэропорту
MOB_98A,подойди к телефону Вайс Поинт
MOB_99A,подойди к телефону возле бульвара
PHIL211,дай нам
PSYCH_1,вижу взрыв кулака любви
PSYCH_2,кулак любви разрушил мою жизнь
RACE1,2 1
RESC_1,ты разбираешься в оружии
RESC_2,конечно я тоже рад тебя видеть
RESC_3,убираемся отсюда
RESC_4,Алиса у тебя все мои планы летят к чертову ты здорово поработал lens
RESC_5,он убил моего брата и что мне теперь делать оторвать ему голову
RESC_6,мы должны уничтожить родился пока уничтожил нас
RESC_7,разберись с этим и встречаемся на мосту Кострому звезд
RESC_8,хорошо ясно
ROK1_1A,еще тебе что то особенное я знаю что вам надо
ROK1_5,мерседес
ROK1_6,как ты
ROK1_7,отлично послушай у тебя есть кулак любви
ROK1_8,да ну его надо будет вернуть
ROK1_9,спасибо за деньги сосунок
ROK3_1,теперь ребята мы заслужили выпивку место просто в сотни ярдов от дороги
ROK3_10,а этот бутылка водки это не водка это самогон
ROK3_11,она взорвется
ROK3_13,у меня нет взрывчатки Вилли скажи что нибудь я сыграю басы в пекле
ROK3_14,давай едь быстрее кто нибудь сделайте что нибудь умник
ROK3_15,кто нибудь сделайте что нибудь что это за ерунда я видел девочек ладно парень ты что то делаешь
ROK3_16,слушай друг я играю на музыкальном инструменте у меня нет бомбы Авили может только сосать самогона
ROK3_17,я слышала что вы хорошо это делаете этой ночью я был с моими девками
ROK3_18,просто дай Вилли соломки солонке этаже тур кулак любви
ROK3_19,где мне взять соломки понятно какая проволока Томми зеленая вода зеленая
ROK3_2,лучше взять большую Томми поменяй каналы дружище
ROK3_20,привет зеленая какая из них похожа на зеленую
ROK3_21,конец смерть в картах все кажется зеленым я должен выгрузить вас
ROK3_22,капиталист я тащу тебя годами заткнись
ROK3_23,большая визжащая девка да заткнись я тебя не проволоку которую эту
ROK3_24,нет мы не хотим взрываться
ROK3_25,друг хороший и мы можем найти телегу и поехать
ROK3_26,сделать ракету оскорбление кулак любви
ROK3_27,мы прикончили эту бутылку
ROK3_3,удивлюсь если не заболит голова смотрите что это a Томми включи эту ленту
ROK3_4,кулак любви время загрязнять эфир закончена я давал вам шанс стать друзьями
ROK3_5,теперь я даю вам возможность умереть попробуйте остановиться и лимузин взорвется с вами задницы
ROK3_6,милый спаси группу у меня утомила просто держи педаль
ROK3_62,мы думали что видимо храм рока
ROK3_63,почувствуй ярость кулака любви
ROK3_64,прислушайся к себе это лента из папье Моше
ROK3_65,это храмы жрецы
ROK3_66,если детишкам нравится их жрецы
ROK3_67,кто я чтобы спорить
ROK3_68,о боже ленту снова зажевала
ROK3_69,на каком уровне мы никогда не сыграем
ROK3_7,нам надо найти бомбу мы не можем просто ездить весь день мы много выпили
ROK3_70,мои киски
ROK3_71,нам надо разобраться с этим спасибо Томми ясно что я говорю хороший пока
ROK3_73,джаз крутит лента
ROK3_8,я боба не может быть в двигателе нам надо остановить его мы все погибнем и не надо выпить
ROK3_9,идут очередь это не комната выпивки убирайся
STRIP_1,у тебя столько нет дешевка
STRIP_2,я тебе нравлюсь больше чем остальные девушки
STRIP_3,потанцуем
STRIP_4,хочешь хорошо провести время
STRIP_5,какой ты большой я таких люблю
STRIP_6,мне нравится эта музыка
STRIP_7,эй красавчик
STRIP_8,о чем ты думаешь милый
STRIP_9,ты что совсем один
TAX1_1,хорошо у нас есть первоклассная
TAX1_2,вот Томми я это беру
TAX1_3,это моя плата назад задница
TAX1_4,давай давай начинай быстро
TAX1_5,хорошо только не обзывайся
TAX2_1,машина
TAX2_2,продолжай заходите нас у них очень много машин мы не можем конкурировать
TAX2_3,пойди туда послушать том и обанкротился
TAX2_4,давай
TAX2_5,с ним
TAX2_6,у него даже нет прав
TAX2_7,проклятый лимузины
TAX3_1,13
TAX3_2,окей вот так машины 13 нет
TAX3_3,не видно мерседес
TAX3_4,а теперь пришла очередь ангелу стражу кауфман caps есть крыло
TAX3_5,приятель я разобью твою логово
TEX1_1,возьмите костюмы для гольфов Джок sports
TEX1_2,в гольф клубы
TEX1_3,ребят разбились
TEX1_5,слушай
TEX1_6,классная задница
TEX3_1,сброс 4 пункта предназначенных для разрушения
TEX3_2,сбрось
TEX3_3,направить вертолет арсина bobo bobo
TEX3_4,нажми кнопку сбрось бомбу
TEX3_5,что ты неудачно положу боба попробуй снова
TEX3_6,если ты поднял бобов 1 раз в то включается взрывной хрома
TEX3_7,утесов 8 минут
TEX3_8,ты не попал в цель подняли бабуль попробуй снова
ass_1,матерь божья где же ты это все достало на всякий пожарный еще бы
ass_10,действительно неплохая тройная граница
ass_11,можно мне комната с видом на залив
ass_12,здесь просто прекрасные потолки
ass_13,где я пришел заводить своим бизнесом
ass_14,ты предал меня ты идиот я убью тебя
ass_3,прикрой меня
ass_4,где сейчас должен быть внутри
ass_5,Ланс
ass_6,иди там я справлюсь
ass_7,вот получите мерзкий убийцей
ass_8,меня прижали
ass_9,я прикрываю тебя Томми
band_01,неплохие у тебя бандюги
band_02,алабай
band_03,а я и целая куча дерьма
band_04,зорро моя жизнь бессмысленна
band_05,скачать амиго
band_06,у тебя хорошие ребята амиго
band_07,сомбреро это нечто особенное амиго
band_08,сегодня неплохой день чтобы умереть гамбургер с сыром
bike1_2,неплохо приятель
bike1_3,ты называешь себя байкерам а где ты говнюк
bk4_14b,все готово
bk4_23b,дайте мне 5 минут
bk4_23c,дайте мне 10 минут
bk4_23d,дайте мне 10 минут
bk4_31b,Томми подвал открыт
bk4_40b,я устрою взбучку
bnk2_9,думаю тебе надо хорошенько потренироваться так ты ничего не подстрелят
bnk3_4a,конечно же ты Томми зачем еще кому нибудь говорить со мной
bnk3_4b,ладно значит так я поеду за тебя если и только если ты сможешь водить машину как следует
bnk3_4c,оставишь меня 1 я тебя никогда этого не прощу
bnk422b,кем
bnk4_39,где Хиллари
bnk4_41,выключи
bnk4_4b,здесь не глуши моторы
bnk4_95,Хиллари найди другую тачку
bnk4_96,лучше их найти
bnk4_97,8 лет
bnk4_98,куда подевался
bnk4_99,где кем
bud1_1,мой дом разрушен
bud1_10,теперь я хозяин города а я
bud1_2,разрушен
bud1_3,я плачу за защиту
bud1_4,моя прекрасная витрина
bud1_5,магазин мой прекрасный магазин
bud1_9,версетти запомни это имя
bud2_1,садись в машину
bud2_2,вашей защите нужно еще немного защиты
bud2_3,не надо мне не нужна эта ерунда
bud2_4,эти идиоты уничтожили базу данных в квартале
bud2_5,ребята просто отсортируйте их
bud2_6,увидимся позже
bud2_7,да да в любое время
bud3_1,свяжи их использовать лет
bud3_1a,как привлечь внимание
bud3_1b,тебе не сильно разозлятся
bud3_1c,полегче брат копы так не ездят
bud3_2,а что надо
bud3_3,немного потуже между ног
bud3_4,да мне тоже мне тоже
bud3_5,помни улыбайся другим копам
bud3_6,офицер красивый значок хорошие значок
bud3_7,очень вежливо lens
bud3_8a,так таймер установлен до взрыва 5 секунд
bud3_8b,таймер установлен надо взрывать 10 секунд
bud3_8c,так таймеры установленные давай 15 секунд
bud3_9a,5 секунд нам надо быстро убираться отсюда
bud3_9b,10 секунд нам надо быстро убираться отсюда
bud3_9c,15 секунд нам надо быстро убираться отсюда
burg_01,наслаждайся
burg_02,из переработанных отходов
burg_03,не задавай пользоваться всеми коровами
burg_04,подходим к делу
burg_05,все в порядке
burg_06,свежие титьки
burg_07,дешевка
burg_08,вам понравится
burg_09,пират
burg_10,какой ужас
burg_11,как насчет кисок
burg_12,вам понравится утром он был еще жив
bust_01,Томми версетти ни в чем не виновен
